# Evaluation of time performance 
#
#{AllocSize(Byte)	Time(ms)Balloc	Time(ms)Bfree}
2500	0.002149	0.000160
2510	0.002370	0.000160
2520	0.002148	0.000153
2530	0.002155	0.000159
2540	0.002235	0.000155
2550	0.002163	0.000160
2560	0.002418	0.000162
2570	0.002209	0.000160
2580	0.002154	0.000153
2590	0.002271	0.000162
2600	0.002241	0.000161
2610	0.002275	0.000135
2620	0.002275	0.000163
2630	0.002137	0.000155
2640	0.002132	0.000156
2650	0.002182	0.000160
2660	0.002237	0.000162
2670	0.002140	0.000164
2680	0.002124	0.000155
2690	0.002232	0.000159
2700	0.002363	0.000128
2710	0.002366	0.000161
2720	0.002293	0.000164
2730	0.002105	0.000159
2740	0.002224	0.000158
2750	0.002276	0.000147
2760	0.002161	0.000153
2770	0.002237	0.000137
2780	0.002303	0.000161
2790	0.002263	0.000159
2800	0.002300	0.000150
2810	0.002385	0.000144
2820	0.002384	0.000149
2830	0.002279	0.000134
2840	0.002297	0.000156
2850	0.002361	0.000159
2860	0.002286	0.000129
2870	0.002223	0.000164
2880	0.002322	0.000140
2890	0.002247	0.000157
2900	0.002269	0.000151
2910	0.002203	0.000147
2920	0.002228	0.000156
2930	0.002283	0.000154
2940	0.002237	0.000159
2950	0.002279	0.000159
2960	0.002187	0.000160
2970	0.002120	0.000156
2980	0.002229	0.000145
2990	0.002191	0.000160
3000	0.002114	0.000161
3010	0.002273	0.000159
3020	0.002114	0.000160
3030	0.002131	0.000143
3040	0.002108	0.000158
3050	0.002140	0.000152
3060	0.002116	0.000161
3070	0.002116	0.000161
3080	0.002130	0.000156
3090	0.002268	0.000152
3100	0.002120	0.000158
3110	0.002097	0.000159
3120	0.002124	0.000156
3130	0.002133	0.000135
3140	0.002111	0.000153
3150	0.002094	0.000163
3160	0.002129	0.000161
3170	0.002123	0.000154
3180	0.002113	0.000143
3190	0.002129	0.000162
3200	0.002151	0.000156
3210	0.002266	0.000151
3220	0.002357	0.000161
3230	0.002163	0.000156
3240	0.002133	0.000158
3250	0.002274	0.000145
3260	0.002199	0.000154
3270	0.002170	0.000147
3280	0.002128	0.000156
3290	0.002118	0.000153
3300	0.002133	0.000157
3310	0.002119	0.000158
3320	0.002160	0.000163
3330	0.002164	0.000158
3340	0.002170	0.000157
3350	0.002137	0.000164
3360	0.002184	0.000147
3370	0.002174	0.000161
3380	0.002281	0.000163
3390	0.002248	0.000156
3400	0.002306	0.000154
3410	0.002248	0.000155
3420	0.002306	0.000160
3430	0.002269	0.000147
3440	0.002300	0.000153
3450	0.002325	0.000154
3460	0.002339	0.000160
3470	0.002201	0.000158
3480	0.002251	0.000129
3490	0.002259	0.000143
3500	0.002349	0.000141
3510	0.002197	0.000160
3520	0.002254	0.000152
3530	0.002367	0.000152
3540	0.002197	0.000155
3550	0.002149	0.000137
3560	0.002441	0.000143
3570	0.002336	0.000147
3580	0.002365	0.000167
3590	0.002170	0.000152
3600	0.002229	0.000165
3610	0.002118	0.000138
3620	0.002108	0.000163
3630	0.002221	0.000156
3640	0.002379	0.000139
3650	0.002342	0.000161
3660	0.002092	0.000160
3670	0.002107	0.000157
3680	0.002171	0.000157
3690	0.002271	0.000154
3700	0.002260	0.000135
3710	0.002354	0.000153
3720	0.002189	0.000146
3730	0.002113	0.000160
3740	0.002213	0.000153
3750	0.002121	0.000161
3760	0.002642	0.000161
3770	0.002189	0.000155
3780	0.002134	0.000161
3790	0.002108	0.000159
3800	0.002121	0.000184
3810	0.002149	0.000154
3820	0.002117	0.000157
3830	0.002137	0.000158
3840	0.002220	0.000162
3850	0.002216	0.000157
3860	0.002225	0.000152
3870	0.002171	0.000162
3880	0.002139	0.000165
3890	0.002085	0.000227
3900	0.002146	0.000148
3910	0.002138	0.000155
3920	0.002129	0.000158
3930	0.002139	0.000156
3940	0.002141	0.000152
3950	0.002144	0.000156
3960	0.002199	0.000136
3970	0.002124	0.000153
3980	0.002120	0.000155
3990	0.002119	0.000151
4000	0.002152	0.000166
# Benchmark done!
